,MEDIO_PREDOMINANTE,LATITUD_ORIGEN,LATITUD_DESTINO,LONGITUD_ORIGEN,LONGITUD_DESTINO,DIFERENCIA_HORAS,tiempo_recorrido,distancia_km,velocidad km/h
0,TPC-SITP,4.6130545936828,4.6502682159333,-74.190594818804,-74.067594708128,01:50:00,1.8333333333333335,14.262486887333312,7.779538302181805
1,TPC-SITP,4.6502682159333,4.6130545936828,-74.067594708128,-74.190594818804,01:50:00,1.8333333333333335,14.262486887333312,7.779538302181805
2,PEATON,4.6130545936828,4.6156126809888,-74.190594818804,-74.190138057954,00:18:00,0.3,0.289240253530717,0.9641341784357232
3,PEATON,4.6156126809888,4.6130545936828,-74.190138057954,-74.190594818804,00:55:00,0.9166666666666666,0.289240253530717,0.31553482203350947
4,MOTO,4.6577642414013,4.6899883259617,-74.074829090851,-74.065486185993,01:32:00,1.5333333333333332,3.733943040280424,2.4351802436611463
5,MOTO,4.6899883259617,4.6577642414013,-74.065486185993,-74.074829090851,00:36:00,0.6,3.733943040280424,6.223238400467373
6,PEATON,4.6577642414013,4.6495623851774,-74.074829090851,-74.065048167068,00:36:00,0.6,1.4182103131339585,2.363683855223264
7,PEATON,4.6495623851774,4.6577642414013,-74.065048167068,-74.074829090851,00:45:36,0.76,1.4182103131339585,1.8660662014920506
8,ESPECIAL,4.6085647688779,4.6371862863255,-74.172809896978,-74.118808629596,01:00:00,1.0,6.786285407839058,6.786285407839058
9,ESPECIAL,4.6371862863255,4.6085647688779,-74.118808629596,-74.172809896978,01:00:00,1.0,6.786285407839058,6.786285407839058
10,TPC-SITP,4.6085647688779,4.6371862863255,-74.172809896978,-74.118808629596,01:07:00,1.1166666666666667,6.786285407839058,6.077270514482739
11,TPC-SITP,4.6371862863255,4.6085647688779,-74.118808629596,-74.172809896978,01:07:00,1.1166666666666667,6.786285407839058,6.077270514482739
12,PEATON,4.6085647688779,4.613845104254,-74.172809896978,-74.176593561814,00:40:00,0.6666666666666666,0.7223394666743843,1.0835092000115765
