"","V1","MEDIO_PREDOMINANTE","LATITUD_ORIGEN","LATITUD_DESTINO","LONGITUD_ORIGEN","LONGITUD_DESTINO","DIFERENCIA_HORAS","tiempo_recorrido","distancia_km","velocidad km/h","RGB"
"1",6759,"AUTO",4.603103809664,5.0252154,-74.121352200558,-74.0011074,"03:00:00",3,48.8457426455781,16.2819142151927,"#FFFF2A"
"2",8132,"OTROS",4.6206315006303,5.0252154,-74.194025049608,-74.0011074,"01:15:00",1.25,49.8635046680106,39.8908037344085,"#FFFF67"
"3",9734,"Transmilenio",4.6518981722449,5.0252154,-74.063050449937,-74.0011074,"02:06:00",2.1,42.1217038733754,20.0579542254169,"#FFFF34"
"4",12213,"INTERMUNICIPAL",4.627427336643,5.0252154,-74.068413826869,-74.0011074,"02:00:00",2,44.9065944320703,22.4532972160351,"#FFFF3A"
"5",12383,"ESPECIAL",4.6311891172937,5.0252154,-74.065681055298,-74.0011074,"01:00:00",1,44.4438535101257,44.4438535101257,"#FFFF73"
"6",13018,"ESPECIAL",4.5885800942671,5.0252154,-74.178219471361,-74.0011074,"02:00:00",2,52.426540881133,26.2132704405665,"#FFFF44"
"7",15282,"Transmilenio",4.5843410361557,5.0252154,-74.134217695703,-74.0011074,"01:40:00",1.66666666666667,51.2510738664499,30.7506443198699,"#FFFF4F"
"8",16341,"ESPECIAL",4.5895559109034,5.0252154,-74.179009932985,-74.0011074,"02:00:00",2,52.3588255342616,26.1794127671308,"#FFFF44"
"9",19147,"AUTO",4.6099699683776,5.0252154,-74.070236369214,-74.0011074,"01:02:00",1.03333333333333,46.8566864640352,45.3451804490663,"#FFFF75"
"10",19365,"AUTO",4.7430492795086,5.0252154,-74.041142628959,-74.0011074,"01:30:00",1.5,31.7229535436812,21.1486356957875,"#FFFF37"
"11",19367,"AUTO",4.7430492795086,5.0252154,-74.041142628959,-74.0011074,"02:35:00",2.58333333333333,31.7229535436812,12.2798529846508,"#FFFF1F"
"12",19605,"BICICLETA, BICICLETA CON MOTOR",4.6047465883465,5.0252154,-74.083336196908,-74.0011074,"03:11:00",3.18333333333333,47.6869086056317,14.980180713811,"#FFFF26"
