x,y,codid,direccion,localidad,tipointer,disppdm,fechaimplementacion
-74.076303309999957,4.640100670000038,502,KR 27 X CL 51,TEUSAQUILLO,"VEHICULAR, PEATONAL","BOTON, SONORO",1998-08-05
-74.076131079999982,4.641080550000026,498,KR 27 X CL 52,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1994-11-15
-74.07448538999995,4.638785910000024,476,AV COLOMBIA (AK 24) X CL 50,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1998-08-02
-74.074322069999937,4.639766830000042,472,AV COLOMBIA (AK 24) X CL 51,TEUSAQUILLO,VEHICULAR,SIN,1990-07-01
-74.074169389999952,4.640756380000028,467,AV COLOMBIA (AK 24) X CL 52,TEUSAQUILLO,VEHICULAR,SIN,1990-07-01
-74.073965189999967,4.641817120000042,459,AV COLOMBIA (AK 24) X AV PABLO VI (AC 53),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1983-08-02
-74.072438009999985,4.635614890000056,422,TV 20 X DG 45D,TEUSAQUILLO,VEHICULAR,SIN,1994-05-11
-74.071924019999983,4.63496286000003,410,TV 19BIS X DG 45D,TEUSAQUILLO,VEHICULAR,SIN,1994-05-11
-74.071550879999961,4.63447960000002,402,KR 19 X DG 45D,TEUSAQUILLO,VEHICULAR,SIN,1993-03-28
-74.069724529999974,4.632129560000067,362,KR 16 X DG 44BIS,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1994-11-28
-74.070476419999977,4.633076740000035,378,AV FRANCISCO MIRANDA (AC 45) X DG 45D,TEUSAQUILLO,VEHICULAR,SIN,1983-06-23
-74.077355849999947,4.640278000000023,514,KR 28 X CL 51,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1998-08-05
-74.077092789999938,4.64376081000006,511,KR 28 X CL 53B ,TEUSAQUILLO,VEHICULAR,SIN,1994-11-11
-74.076858569999956,4.644530250000059,509,TV 28 X CL 53BBIS,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1994-11-11
-74.075451639999983,4.634002320000036,489,AV COLOMBIA (AK 24) X AV FRANCISCO MIRANDA (AC 45),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1983-06-16
-74.073316709999972,4.63673582000007,447,TV 21 X DG 45D Y CL 45CBIS,TEUSAQUILLO,VEHICULAR,SIN,1993-12-03
-74.071967749999942,4.641464930000041,409,KR 21 X AV PABLO VI (AC 53),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1983-06-22
-74.071435611999959,4.64026317500003,397,KR 20 X CL 52,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,2004-10-29
-74.069651939999972,4.638954180000042,360,KR 17 X CL 51,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1997-03-30
-74.069471549999946,4.639937280000026,355,KR 17 X CL 52,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,2004-04-30
-74.070026159999941,4.64002245000006,369,KR 18 X CL 52,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,2000-07-16
-74.069833829999936,4.641054750000023,364,KR 18 X AV PABLO VI (AC 53),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1982-12-14
-74.075916599999971,4.642165290000037,496,KR 27 X AV PABLO VI (AC 53),TEUSAQUILLO,VEHICULAR,SIN,1994-11-15
